identifier,artist,artistFirstName,artistLastName,completed,location,main_image_url
2324 McElderry St.,Patrick Jacobson,Patrick,Jacobson,06/17/05 12:00 AM,"-76.58422002314211, 39.29765925892087",https://data.baltimorecity.gov/views/zqh4-9ud5/files/MT9IQB8HEn1FygD0SAKQgM9bLm0j01zkgHiAlQUXpOo?filename=jacobson-2324+mcelderry+st+-+hope+for+the+children.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
600 Cherry Hill Rd.,Tom Miller,Tom,Miller,06/09/05 12:00 AM,"-76.62289087040199, 39.25000418458825",https://data.baltimorecity.gov/views/zqh4-9ud5/files/MwIj9A97qmNCx9RqWnvSsFVBQQvrE40IIbbqxZVsBeI?filename=Miller+Mural.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
Baltimore Farmer's Market - Holliday and Saratoga Streets018,Michelle Santos,Michelle,Santos,06/29/05 12:00 AM,"-76.60749999999996, 39.297300000000064",https://data.baltimorecity.gov/views/zqh4-9ud5/files/o-2j8tgW7XZyx5XhbtUUdgpiwAZwQkJdiPObufxxmeQ?filename=M+Santos+Detail+2.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
North Ave and Harford Road,Spoon and Dan Popkin and Van Allen,Spoon and Dan,Popkin and Van Allen,06/25/05 12:00 AM,"-76.57662999999991, 39.316199999999924",https://data.baltimorecity.gov/views/zqh4-9ud5/files/O-gc85fWCQx5k5e6ebFeuLXYjTodnv8Z268jrHhddP8?filename=miller+-+1339+E+north+ave+-+restored.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
N. Duncan and McElderry Streets, MICA and HEBCAC,,MICA and HEBCAC,06/24/05 12:00 AM,"-76.56324999999987, 39.302410000000066",https://data.baltimorecity.gov/views/zqh4-9ud5/files/O1ee41zt_NS6493o-6EfijCN4yZh5HwjgnfK07QcUpM?filename=MICA+Mural.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
1425 Mulberry Street,Aleks Martray,Aleks,Martray,06/28/05 12:00 AM,"-76.64015259533683, 39.29310232572219",https://data.baltimorecity.gov/views/zqh4-9ud5/files/o2KmVfeYHbdByDOozML-eIbwcDdUNlZidsf9bdYm9oM?filename=Aleks+Martray+1425+Mulberry+St..jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
330 W. Lafayette Street,Josh Van Horne,Josh,Van Horne,07/02/05 12:00 AM,"-76.60749999999996, 39.297300000000064",https://data.baltimorecity.gov/views/zqh4-9ud5/files/OaOh8pwjIaMbT5cGYbvrZJ1QXSeBFw0RQteHnc2J5yU?filename=330+Lafayette+J.+vanHorne.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
Ramsay and Cross Sts.,John Ellsberry,John,Ellsberry,06/20/05 12:00 AM,"-76.62630000000001, 39.266940000000034",https://data.baltimorecity.gov/views/zqh4-9ud5/files/oEjY-1T-0FNxENlY9ikMLqKpqBpUUm6_w71QbMfKL1c?filename=ellsberry-ramsay+%26+cross+sts%2C+b%26o.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
N. Stricker and W. Franklin Sts.,Gary Mullen with Community Youth,Gary,Mullen with Community Youth,06/23/05 12:00 AM,"-76.65196999999989, 39.28365000000008",https://data.baltimorecity.gov/views/zqh4-9ud5/files/OeSyr4lECLnXansyEWqOOvw2A8rs1Ob8iEb9uUAZxDg?filename=Mullen+%26+community+youth+-+stricker+%26+Franklin+sts.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
601 E. 33rd Street,Gary Mullen,Gary,Mullen,06/30/05 12:00 AM,"-76.6077462874286, 39.328317146899735",https://data.baltimorecity.gov/views/zqh4-9ud5/files/OEXpKIpMflsb93QSk-SRb77KwSlTEEQe7VMEOYV3osc?filename=Gary+Mullen+33rd+and+Greenmount+Panel+2+2008.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
