identifier,artist,artistFirstName,artistLastName,completed,location,main_image_url
1400 North Avenue (Court Building parking lot),Spoon Popkin,Spoon,Popkin,06/30/05 12:00 AM,"-76.57662999999991, 39.316199999999924",https://data.baltimorecity.gov/views/zqh4-9ud5/files/-_58tYomIrTnpkvaNQiOZQfBkGWyUeQl5v9dthQ0X8M?filename=S.+Popkin+T.+Miller+Tribute+Panel1.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
W. Ostend and James Sts.,Mary and Terry Carfagno Ferguson and Van Tassell,Mary and Terry,Carfagno Ferguson and Van Tassell,06/21/05 12:00 AM,"-76.62630000000001, 39.266940000000034",https://data.baltimorecity.gov/views/zqh4-9ud5/files/-7C22iH7j4gaPNq0NCz_aPtPm2hKzgbJuOCN8QTS4jk?filename=Skateboarding+Mural.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
"1327 Washington Boulevard, Barrister School (interior)",Charles and Donald Carroll and Tyson,Charles and Donald,Carroll and Tyson,06/28/05 12:00 AM,"-76.63572931347767, 39.28032465761226",https://data.baltimorecity.gov/views/zqh4-9ud5/files/-E9oH4xyf4QOt03UFhyb4kJalAPbAFfRuOSa-r7hG8U?filename=Charles+Carroll+34+Donal+Tyson.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
1756 E. Preston St.,Mary Carfagno Ferguson,Mary,Carfagno Ferguson,06/20/05 12:00 AM,"-76.59271861631896, 39.30541141481342",https://data.baltimorecity.gov/views/zqh4-9ud5/files/-Ww8s3wudL0pE47_Ww-4gH46ddgu_J_qDK3CuTnXbB4?filename=ferguson+1756+e+preston+st+2.4.04.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
4501 Curtis Avenue,Peggy Ward,Peggy,Ward,06/27/05 12:00 AM,"-76.5868010773662, 39.225039005054896",https://data.baltimorecity.gov/views/zqh4-9ud5/files/-XggIgigxzzMsxNb9ypp_5bDTkBicZRM-DpWpGeRZWM?filename=IMG_0192%5B1%5D&content_type=image%2Fjpeg%3B+charset%3Dbinary
1339 E. North Ave.,Tom Miller,Tom,Miller,06/14/05 12:00 AM,"-76.59960742306345, 39.31189552664472",https://data.baltimorecity.gov/views/zqh4-9ud5/files/0ki7_5mCamA5DXbJsO9KsZUMKPb2LoGibHZogLdfsu0?filename=miller+-+harford+%26+north.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
4004 Frederick Ave.,Lyle Kissack,Lyle,Kissack,06/22/05 12:00 AM,"-76.68254290060548, 39.281759245442856",https://data.baltimorecity.gov/views/zqh4-9ud5/files/0v0JmVjOe8L9udhMIp6QlAQNTHQDdRr6XWRA8up8AJY?filename=kissack+-+4004+Frederick+Ave.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
5700 York Rd.,Antonio Rodriquez,Antonio,Rodriquez,06/13/05 12:00 AM,"-76.6099226467395, 39.359451675554055",https://data.baltimorecity.gov/views/zqh4-9ud5/files/0ZmEgH04uimAKc9s3hWSab5K1vGvLG77f1irV85E30I?filename=rodriquez-525+benninghaus+rd.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
412 S. Broadway,Eric Monastario,Eric,Monastario,06/22/05 12:00 AM,"-76.5936179383483, 39.286183909827",https://data.baltimorecity.gov/views/zqh4-9ud5/files/1ZE1vv25BnlZVa6iJWP_5ldC7f7x2w8YJHUDpFDtx2s?filename=monastario+-+412+S+Broadway.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
"1398 Mt Royal Avenue, Midtown Academy (interior)",Shawn James,Shawn,James,06/29/05 12:00 AM,"-76.62196512234492, 39.308377667711596",https://data.baltimorecity.gov/views/zqh4-9ud5/files/27lxXAjWbg9Ef1v_rOXuhhOlOZ6MyJCMaOUBvSaU6jk?filename=Shawn+James+and+Midtown+Academy+2007.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
Liberty and Clay Sts.,Shawn James and Access Art Inc.,Shawn,James and Access Art Inc.,06/26/05 12:00 AM,"-76.60749999999996, 39.297300000000064",https://data.baltimorecity.gov/views/zqh4-9ud5/files/2lTfEswG-31PAh52vw2ajKaefrvbT1x6IIZJTWd_AYc?filename=Believe+Mural.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
"700 N. Calhoun Street, Harlem Park Recreation Center",John Marra,John,Marra,07/02/05 12:00 AM,"-76.64039000000002, 39.31194000000011",https://data.baltimorecity.gov/views/zqh4-9ud5/files/2RcgYNuIbIaSOHrfXXZSAxm_hyMw1NtRRAwydIoSqzw?filename=Marra+Harlem+Park+Rec.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
141 S. Central Ave.,Donna McCullough,Donna,McCullough,06/11/05 12:00 AM,"-76.59946353153873, 39.28932254370926",https://data.baltimorecity.gov/views/zqh4-9ud5/files/3FNrFd_XXQGkMvw0yyJCnL4EzQLBDJ77JG9691u55MU?filename=mccullough-141+s+central+ave.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
221 Pulaski Street,Michelle Santos,Michelle,Santos,07/02/05 12:00 AM,"-76.65015279221784, 39.290990093644965",https://data.baltimorecity.gov/views/zqh4-9ud5/files/3VlJvaaD_loKiA8niBAvsyRICbfp2eff1YT0Pof4AGQ?filename=221+Pulaski+M.+Santos.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
1800 block Hanover St,Jennifer Rattigan and MICA CAP Program,Jennifer,Rattigan and MICA CAP Program,06/25/05 12:00 AM,"-76.62630000000001, 39.266940000000034",https://data.baltimorecity.gov/views/zqh4-9ud5/files/4F4XfD4M0oRVUXOD7gGiVYrjzRPwjg8Sr1KL7Sj3yyc?filename=rattigan+-+1800+block+hanover+st+9.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
3301 Belair Road,Charles Lawrence,Charles,Lawrence,06/29/05 12:00 AM,"-76.57347312489196, 39.321752096085845",https://data.baltimorecity.gov/views/zqh4-9ud5/files/5d_KvAT0nBs1SegqTaV3q6ThDGEx-U4x_HYlJP7gDYs?filename=C.+Lawrance+Bel+Air+Edison+001.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
1170 Carroll St.,Shawn James,Shawn,James,06/21/05 12:00 AM,"-76.63281938560544, 39.280967842057066",https://data.baltimorecity.gov/views/zqh4-9ud5/files/5xb6uGr6--9vb2deTXn-wM7FoVTHr9PplOUw__K5h48?filename=ShawnJames+ostendmural.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
900 N. Bond St.,Archie Veale,Archie,Veale,06/20/05 12:00 AM,"-76.59641450253403, 39.30043783617391",https://data.baltimorecity.gov/views/zqh4-9ud5/files/6_tQr_6NNc0uPlQFLQ8JdO5uVVVuwT355UTcnTL6syc?filename=Veale-+900+N.+Bond.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
Baltimore Farmer's Market - Holliday and Saratoga Streets1,Ernie Shaw,Ernie,Shaw,06/29/05 12:00 AM,"-76.60749999999996, 39.297300000000064",https://data.baltimorecity.gov/views/zqh4-9ud5/files/6deREQj4-LSksSR3JslTv3SAwPCRrZaC0BwyuqSWkFU?filename=E.+Shaw+Farmers%27+Market+07.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
905 Lemmon Street,John Ellsberry,John,Ellsberry,06/16/05 12:00 AM,"-76.63246865001406, 39.28633679457198",https://data.baltimorecity.gov/views/zqh4-9ud5/files/6gNSZjdMOdvLOIwmmME3-PlhIgwPnk8hwQj1725or6Q?filename=ellsberry-905+lemmon+st.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
Baltimore Farmer's Market - Holliday and Saratoga Streets2,Laura Lynn Emberson,Laura Lynn,Emberson,06/28/05 12:00 AM,"-76.60749999999996, 39.297300000000064,",https://data.baltimorecity.gov/views/zqh4-9ud5/files/6J4nYvhHkDKtZfqrg6wBcZS57jNEVR34dGe_zMJxGhU?filename=L.L.+Emberson+Farmer%27s+Market+005.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
1904 McCulloh St.,Lyle Kissack,Lyle,Kissack,06/23/05 12:00 AM,"-76.63382662627828, 39.30744388259967",https://data.baltimorecity.gov/views/zqh4-9ud5/files/6n7xLo1noJjbxZySh2JN28JIe_xkn7W7MlV5TSf1qq4?filename=kissack+-+1904+McCulloh+St+2.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
2439 Charles Street,Greg Gannon,Greg,Gannon,07/03/05 12:00 AM,"-76.61689946066649, 39.317348011827555",https://data.baltimorecity.gov/views/zqh4-9ud5/files/6QBqaXWCRN7vNLShGsBqof52cfKotGDcVfsvP3bbQaY?filename=2439+N.+Charles+G.+Gannon.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
Baltimore Farmer's Market - Holliday and Saratoga Streets3,Jennifer Rattigan,Jennifer,Rattigan,06/29/05 12:00 AM,"-76.6074999999999, 39.297300000000064",https://data.baltimorecity.gov/views/zqh4-9ud5/files/6ZFYOy506R6Gd4MJZSebqe1a-_7L2NuvjUH-WMIOXjQ?filename=J.+Rattigan+FM+07.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
Baltimore Farmer's Market - Holliday and Saratoga Streets4,Spoon Popkin,Spoon,Popkin,06/30/05 12:00 AM,"-76.60749999999996, 39.297300000000064",https://data.baltimorecity.gov/views/zqh4-9ud5/files/72UfuwZEimX6i4MPWNhNz87M1sha_R62li7ZQNgOitk?filename=Spoon+Popkin+2008+back+view.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
2900 Barclay Street (Mosaic),Tamara and Natalie Payne and Kossack,Tamara and Natalie,Payne and Kossack,07/03/05 12:00 AM,"-76.61110975181816, 39.32380255031262",https://data.baltimorecity.gov/views/zqh4-9ud5/files/73tQ6qiXxYCJivvKsnE993uZLrt40pc8t0GWOgvYFok?filename=IMG_0119%5B1%5D&content_type=image%2Fjpeg%3B+charset%3Dbinary
1224 W. Lombard St.,Helen Glazer,Helen,Glazer,06/15/05 12:00 AM,"-76.63743290761579, 39.286570618299606",https://data.baltimorecity.gov/views/zqh4-9ud5/files/7J8wEOHVNgek_Q51z6lKr6owLsaV3UUCY03H0RFMnYA?filename=glazer-1224+w+lombard.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
Baltimore Farmer's Market - Holliday and Saratoga Streets5,Pontella Mason,Pontella,Mason,06/29/05 12:00 AM,"-76.60749999999996, 39.297300000000064",https://data.baltimorecity.gov/views/zqh4-9ud5/files/7rT6d_eBXnc70gHmGL-6ap_q5H01tnloYkkyhwryuSM?filename=P.+Mason+Farmers+Market.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
Baltimore Farmer's Market - Holliday and Saratoga Streets6,Danamarie Hosler,Danamarie,Hosler,06/28/05 12:00 AM,"-76.60749999999996, 39.297300000000064",https://data.baltimorecity.gov/views/zqh4-9ud5/files/7rX0rShaFVyFvB2gK0j8LNOAhEGZuvl8sKqw5rf734o?filename=d.+hosler+2.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
"3030 Jefferson Street, Elwood Park",Mark Selby,Mark,Selby,07/01/05 12:00 AM,"-76.56324999999987, 39.302410000000066",https://data.baltimorecity.gov/views/zqh4-9ud5/files/8_FOp6rz5jYuhNXnc9Rp1j9ZSLKk00iQKrCFZDsjTQw?filename=Mark+Selby+-+Ellwood+Park+1.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
106 S. Calverton St.,Ernest Shaw,Ernest,Shaw,06/22/05 12:00 AM,"-76.65211940500427, 39.28673917194104",https://data.baltimorecity.gov/views/zqh4-9ud5/files/8e_aG3p06UvFWPR1qGyhvuJjHOxcg3DX7GL6Im5j_Qs?filename=Shaw+Mural.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
4100 Eastern Avenue,Michael Owens,Michael,Owens,07/01/05 12:00 AM,"-76.56239411878697, 39.28690039548041",https://data.baltimorecity.gov/views/zqh4-9ud5/files/8GkVCDY7aPCBfEjQOp-O0CKtqdhk6zqIPFC3pcfeu1Q?filename=Michael+Owen+4100+Eastern+Ave+%2817%29.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
3801 Eastern Avenue,Michael Kirby,Michael,Kirby,06/28/05 12:00 AM,"-76.56480366052949, 39.286723503044584",https://data.baltimorecity.gov/views/zqh4-9ud5/files/8lVpaPgRifZMWT0JuEBK2TWtB0BqEbYFxYOxT6CFqMo?filename=M.+Kirby+Highlandtown.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
Baltimore Farmer's Market - Holliday and Saratoga Streets7,Gary Mullen,Gary,Mullen,06/29/05 12:00 AM,"-76.60749999999996, 39.297300000000064",https://data.baltimorecity.gov/views/zqh4-9ud5/files/aAbCiGRMRqPDXnkEHlew82E7wb4pLNqfBOi4geHD34E?filename=G.+Mullen+FM+07.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
33rd and Greenmount Avenue,"Ernie, Charles and Donald Shaw, Lawrence and Tyson","Ernie, Charles and Donald","Shaw, Lawrence and Tyson",06/30/05 12:00 AM,"-76.60331999999988, 39.32947000000013",https://data.baltimorecity.gov/views/zqh4-9ud5/files/ad4WpdV1izATY4BWPigv1rh3yCr4M-MHB2QImIMpfrs?filename=Shaw%2C+Lawrance%2C+Tyson.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
929 W. 36th Street,Jennifer Ratigan,Jennifer,Ratigan,06/28/05 12:00 AM,"-76.6316567745677, 39.33107648239006",https://data.baltimorecity.gov/views/zqh4-9ud5/files/AN8lO3L8cNyMxDn92C2mIsBX6pbxu1MQ1UPK72sJDvo?filename=Rattigan%2C+36th+Hamden.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
"3900 Bel Air Road, Movie Shed",Emily CD,Emily,CD,06/30/05 12:00 AM,"-76.57662999999991, 39.316199999999924",https://data.baltimorecity.gov/views/zqh4-9ud5/files/Ao8I2ERRP2Snv7FsvLvx4AMP7NDmPxGXOM70Jt30gC8?filename=E.+C-D+3900+Bel+Air+Movie+Shed.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
Baltimore Farmer's Market - Holliday and Saratoga Streets8,Gary Mullen,Gary,Mullen,06/28/05 12:00 AM,"-76.607499999999, 39.297300000000064",https://data.baltimorecity.gov/views/zqh4-9ud5/files/Asv99hEg8aWPtxYizcmDBcXfcIo8VcSoVqwG3MJuulQ?filename=g.+mullen.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
200 N. Bentalou St.,Benari Stewart and Urban Experience,Benari,Stewart and Urban Experience,06/26/05 12:00 AM,"-76.65301815838353, 39.29096830302291",https://data.baltimorecity.gov/views/zqh4-9ud5/files/AV_dPLBJiRfHQMQVUntZx7z-IHiMxbMA6MJw_DhvbsU?filename=Stewart+-+200+North+Bentalou+lores.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
Baltimore Farmer's Market - Holliday and Saratoga Streets9,Nelson Rivas,Nelson,Rivas,07/01/05 12:00 AM,"-76.60749999999996, 39.297300000000064",https://data.baltimorecity.gov/views/zqh4-9ud5/files/aW3uwxCYaLcs4xAoP67snQ_uWjjNJRqxnWi3sN-mAMw?filename=Farmers+Market+-+Nelson+Rivas+side+1.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
886 Washington Blvd.,Mary Carfagno Ferguson,Mary,Carfagno Ferguson,06/18/05 12:00 AM,"-76.63094879578455, 39.282892391199766",https://data.baltimorecity.gov/views/zqh4-9ud5/files/AXQFXUGsFhOVghGykJxvleqy3s0iPLiiH6wBjg2Pc_I?filename=ferguson-886+washington+blvd.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
Baltimore Farmer's Market - Holliday and Saratoga Streets010,Michael Kirby,Michael,Kirby,06/29/05 12:00 AM,"-76.60749999999996, 39.297300000000064",https://data.baltimorecity.gov/views/zqh4-9ud5/files/AXtWVtT04DKez4Mbk9ddFgAky2XyAAaQrR0E72xQF3s?filename=M.+Kirby+FM07.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
503 Oldham St.,"Shawn, Xenofon, et al McRaney, Kohilas, Konsalas, Perrelli, Cavocos","Shawn, Xenofon, et al","McRaney, Kohilas, Konsalas, Perrelli, Cavocos",06/26/05 12:00 AM,"-76.55570960997416, 39.28703448054869",https://data.baltimorecity.gov/views/zqh4-9ud5/files/BA38WxzqEMVoNGRUEPFwqSyEUMLmwRClKJMzIHbJeeY?filename=Greektown+Mural.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
Baltimore Farmer's Market - Holliday and Saratoga Streets011,Joel Bergner,Joel,Bergner,06/30/05 12:00 AM,"-76.60749999999996, 39.297300000000064",https://data.baltimorecity.gov/views/zqh4-9ud5/files/bNqeRCpPy31X355fvqOT_Hn-Ff0TOhOHDDCsteUOAA0?filename=Joel+Bergner+Farmers+Market+08.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
1601 N. Calhoun St.,Benari Stewart and Urban Xperience,Benari,Stewart and Urban Xperience,06/27/05 12:00 AM,"-76.64185570336787, 39.30672116781016",https://data.baltimorecity.gov/views/zqh4-9ud5/files/buxmRgmrXMlwtwD_VD64KPG3NqkLSzQ39yXa-ahPte8?filename=ABS-Benari+Stewarts.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
600 Cherry Hill Rd.,Tom Miller,Tom,Miller,06/20/05 12:00 AM,"-76.62289087040199, 39.25000418458825",https://data.baltimorecity.gov/views/zqh4-9ud5/files/c1hOHx3AgCazTsfcpCDqkuVWdXB13xhekbkgJQvkqLo?filename=miller-600+cherry+hill+rd.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
"Herring Run Park, off Harford Road at Argonne",Charles Lawrence,Charles,Lawrence,06/30/05 12:00 AM,"-76.60331999999988, 39.3294700000001",https://data.baltimorecity.gov/views/zqh4-9ud5/files/C1K4CiFr94AznzB5w7izR7XTar3CFR_1lZs6eAMecg8?filename=Herring+Run+Park+Charles+Lawrance+2.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
4000 Reistertown Rd.,Quentin Mosley,Quentin,Mosley,06/12/05 12:00 AM,"-76.6641132885438, 39.33384558374571",https://data.baltimorecity.gov/views/zqh4-9ud5/files/chbdfyMPVnLgef8Kx7H1x63Aua9FY3vNm6bXCHqoAPc?filename=moseley-4000+reisterstown+rd.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
903 N. Stricker St.,Pontella Mason,Pontella,Mason,06/16/05 12:00 AM,"-76.64155180250998, 39.29909817416774",https://data.baltimorecity.gov/views/zqh4-9ud5/files/CKiOkm5cSIL9JnWdqAYX9ZnK-au9g8uacEi6qU_nf8g?filename=mason-903+North+Stricker+St.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
114 Hamburg Street,Charles Lawrence,Charles,Lawrence,06/30/05 12:00 AM,"-76.61192395611208, 39.27833151021881",https://data.baltimorecity.gov/views/zqh4-9ud5/files/cU8z0aWtDyCpQBKlfoZMI0XjZuqcNNXAbMU5GhmX_PY?filename=114+Hamburg+St+FINAL.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
5801 Reisterstown Rd.,James Voshell,James,Voshell,06/13/05 12:00 AM,"-76.69460280901836, 39.350728251869896",https://data.baltimorecity.gov/views/zqh4-9ud5/files/cy37OmoWICjyQB5eRFj_GEptEMrilqemDObrREi39II?filename=voshell+-+6000+reisterstown+rd+-+ncf.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
1644 E. Pratt St.,Mary Carfagno Ferguson,Mary,Carfagno Ferguson,06/22/05 12:00 AM,"-76.59420249766731, 39.28920563184545",https://data.baltimorecity.gov/views/zqh4-9ud5/files/DIvzuYr5KsiymjRPSAuX0BF-zk8fIVYy71Q6OOZWMAA?filename=ferguson+-+1644+E+Pratt+St.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
1301 Woodbourne Ave.,Jeffrey Cook,Jeffrey,Cook,06/20/05 12:00 AM,"-76.59492195529077, 39.35407372981888",https://data.baltimorecity.gov/views/zqh4-9ud5/files/DN0tZkK5GoQWLbQtYOJUoaXYlgzANxEl3DDb9VpSDRw?filename=cook+%26+woodburne+ctr+students-1301+woodbourne+ave+-+Great+expectations.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
519 S. Highland Street,Joel Bergner,Joel,Bergner,06/30/05 12:00 AM,"-76.56324999999987, 39.302410000000066",https://data.baltimorecity.gov/views/zqh4-9ud5/files/DofIDyWm3TmSfvYRuaXms8B1Cb5BZ0hfGHcNP-QWuoU?filename=J.+Bergner+519+S.+HIghland.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
1818 W. Fayette Street,Augustina Droze,Augustina,Droze,07/02/05 12:00 AM,"-76.64601243977529, 39.28950240811514",https://data.baltimorecity.gov/views/zqh4-9ud5/files/dXI4cLNWwnUC4ica-TERzIXs3MJN2ZOqvKpBhQl-DgQ?filename=1818+Fayette+A.+Droze.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
210 E. 22nd Street,A Adams,A,Adams,07/02/05 12:00 AM,"-76.61312423316377, 39.31436866222526",https://data.baltimorecity.gov/views/zqh4-9ud5/files/E4bJtK-7zbaedOHHERHSO23iT3mUAO2H8BgF7TM-TLw?filename=210+E22nd+A.+Adams.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
Baltimore Farmer's Market - Holliday and Saratoga Streets012,Michael Owens,Michael,Owens,06/28/05 12:00 AM,"-76.60749999999996, 39.297300000000064",https://data.baltimorecity.gov/views/zqh4-9ud5/files/EmBPm3mescZCG0aju0rMg3RogllA5Lzbyt-pfvLDIss?filename=m.+owens+2.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
1611 Carey St.,Pontella Mason,Pontella,Mason,06/12/05 12:00 AM,"-76.6413821657709, 39.3077757819037",https://data.baltimorecity.gov/views/zqh4-9ud5/files/evXoBq6ZlVrYMft4l5cE2HCj4SQorAzOFYkec69WDNg?filename=mason-carey+%26+cumberland.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
Ramsey and Monroe Sts.,Mary Carfagno Ferguson,Mary,Carfagno Ferguson,06/19/05 12:00 AM,"-76.65196999999989, 39.28365000000008",https://data.baltimorecity.gov/views/zqh4-9ud5/files/eYg91fBx86C72jGToGOQUgOaDuMVLu0S-aRszF1tvvM?filename=ferguson-ramsay+%26+monroe+sts.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
1339 E. North Ave.,Tom Miller,Tom,Miller,06/13/05 12:00 AM,"-76.59960742306345, 39.31189552664472",https://data.baltimorecity.gov/views/zqh4-9ud5/files/fEIshumQ7P91h81sKxPQBTiF1gapbe1curPkvZHyJCA?filename=miller-1339+e+north+ave.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
1617 N. Calvert St.,Charles Lawrance,Charles,Lawrance,06/16/05 12:00 AM,"-76.61359188061903, 39.308172333443395",https://data.baltimorecity.gov/views/zqh4-9ud5/files/Fm3E3xKr91AmDnXyWUox4aZoTJng2EbMn3quWLLCZy0?filename=lawrance-1617+n+calvert+st.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
601 E. 33rd Street,Nelson Rivas,Nelson,Rivas,06/30/05 12:00 AM,"-76.6077462874286, 39.328317146899735",https://data.baltimorecity.gov/views/zqh4-9ud5/files/FPww0r9CqRM80oXBTdN5vdm6hSQWQTiGm4oIyDVALb8?filename=Waverly+Giant+Foods+-+Nelson+Rivas.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
529 S. Broadway,Nelson Rivas,Nelson,Rivas,06/30/05 12:00 AM,"-76.59330317563803, 39.284816940342466",https://data.baltimorecity.gov/views/zqh4-9ud5/files/G5RSGd_GiiRaXEErbrb5VYslBwP2lcnnIpLGXsft5YQ?filename=N.+Rivas+529+S.+Broadway.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
Baltimore Farmer's Market - Holliday and Saratoga Streets013,Donald Tyson,Donald,Tyson,06/30/05 12:00 AM,"-76.60749999999996, 39.297300000000064",https://data.baltimorecity.gov/views/zqh4-9ud5/files/GHhG1CzShY0J_hYfU5grVq5XtmaFqV33TFz0-piUh2k?filename=Donald+Tyson+Farmers+Market+08.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
910 W. Pratt St.,John Ellsberry,John,Ellsberry,06/16/05 12:00 AM,"-76.63264851441988, 39.28583317423556",https://data.baltimorecity.gov/views/zqh4-9ud5/files/GO4KXoRkqK92uhHKLpAVA3PvFjwf_DXfWVjirugLkdY?filename=ellberry-910+w+pratt+st.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
711 Poplar Grove,Robbie Woodside,Robbie,Woodside,06/09/05 12:00 AM,"-76.67214999999999, 39.310280000000034",https://data.baltimorecity.gov/views/zqh4-9ud5/files/guvLu8OnNkOfdrNMu6wPjvfn-PqVa9nIZHIu0cPTbTI?filename=Train+Mural.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
325 N. Fulton Ave.,Lyle Kissack and MICA Community Arts Partnerships,Lyle,Kissack and MICA Community Arts Partnerships,06/26/05 12:00 AM,"-76.64532280291871, 39.292289762845",https://data.baltimorecity.gov/views/zqh4-9ud5/files/gXqX3dhUd-S2w_wIwaARsQi5ggD96FEjFcn8RzuumjM?filename=CAP+-+325+Fulton.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
2043 Pennsylvania Avenue,Donald Tyson,Donald,Tyson,06/30/05 12:00 AM,"-76.6381793449001, 39.30646362158774",https://data.baltimorecity.gov/views/zqh4-9ud5/files/hAwmdeS_W5P6tCH5C2SsVnz_EMREq4gMZA1ow8-dCL0?filename=D.+Tyson+2043+Penn+Ave..jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
528 Benninghaus Street,Lyle Kissack,Lyle,Kissack,07/01/05 12:00 AM,"-76.6091207497683, 39.35902873204613",https://data.baltimorecity.gov/views/zqh4-9ud5/files/hFTtkrztdjiQFp1TCOhtxrs2D8xahzDn_6MihoMOsos?filename=Lyle+Kissack+528+Benninghaus+Rd..jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
Baltimore Farmer's Market - Holliday and Saratoga Streets014,Bill Remington,Bill,Remington,06/28/05 12:00 AM,"-76.60749999999996, 39.297300000000064",https://data.baltimorecity.gov/views/zqh4-9ud5/files/hu7NN9-6uqK77AcR0nUhN9tyfX0-YgmkV79CzIROZqA?filename=b.+remington+2.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
Ashton and Smallwood Sts.,Jay Wolf Schlossberg Cohen and Community Youth,Jay Wolf Schlossberg,Cohen and Community Youth,06/22/05 12:00 AM,"-76.65196999999989, 39.28365000000008",https://data.baltimorecity.gov/views/zqh4-9ud5/files/HYninQ0ZcqQ4Jk9NBCAryU5DG7juTbU7v_fpD09uS-A?filename=Cohen+and+community+youth.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
Cathedral and Centre Sts.,Mary Carfagno Ferguson and women of My Sister's Place,Mary Carfagno,Ferguson and women of My Sister's Place,06/19/05 12:00 AM,"-76.62253999999996, 39.294880000000035",https://data.baltimorecity.gov/views/zqh4-9ud5/files/hZ2eTFej2qAyku9Ku3ggA7DLv8lV_Vp6p-Mt6qmAxpM?filename=ferguson%2C+pugh%2C+my+sister%27s+place-cathedral+%26+centre+sts+-+ncf+2.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
